itraconazole_both	methotrexate_both	tamoxifen_both	beauvericin_both	benomyl_both	bisantrene_both	camptothecin_both	cisplatin_both	colchicine_both	cycloheximide_both	fluconazole_both	imatinib_both	ketoconazole_both	miconazole_both	mitoxantrone_both	valinomycin_both
TWAS21010208	0.890799466790069	0.966825705841061	0.964941547513675	0.990652353180476	0.666378348169541	0.0650703725950625	0.956722748768306	0.981636513962982	0.998005582329604	1.06757011753787	0.781772625032308	0.986831507104337	0.7851277684092	0.984152912754932	0.956889130085264	0.992025541318362
TWAS21010211	0.49806210771124	0.994911984746853	-0.0947101959100113	1.01796252936095	0.794176342949675	-0.0186445241245997	0.106373013301261	0.859723321837694	1.0049300981104	0.82570482429615	0.35114417174002	1.00800247859931	0.25771527840113	0.0890703219404972	0.809770379028231	1.01820785833269
TWAS21010212	0.858958931913731	1.00807081053051	1.04348252517737	1.00148384328969	0.91345053253488	0.823590159132925	1.03673107243861	0.97946821093743	0.998801494786948	1.03506655132805	0.613599815971813	0.996895048744858	0.773080058160497	0.899995280063135	1.01291058653008	0.95477285236769
TWAS21010216	0.511223775153519	1.00969567283216	-0.120504805050074	1.01948355408494	1.07265254156688	0.941220221813234	0.969293041113272	1.00718684094302	0.998225669983092	0.852707980329782	0.358656546041559	1.01469150914868	0.144510059564084	0.351392548612091	1.01440123452319	1.01534192737114
TWAS21010217	0.521680198533879	0.976221880933331	-0.177601883041646	1.02181274462405	1.00443831227284	0.754872353658062	0.989798445184806	0.941216940436748	0.997157216257194	0.867714038262126	0.389128049549513	1.02203807242827	0.168607051199471	0.373452565870655	1.00594987398541	1.0110920363025
TWAS21010219	0.541403524804096	1.01792122633353	-0.112627021250548	1.01111888090346	1.04932013946643	0.856697102003506	0.96858302486771	0.921753501335998	0.999771944905962	0.854145123581636	0.34351417358729	1.01866561309092	0.13849607707261	0.366597871030754	1.0121515622245	1.01986748425544
TWAS21010302	0.860704902701208	1.00286332945202	0.926180380081576	0.993740403081552	0.784826064649889	0.0992204765802202	0.866852313327136	0.961879049420398	0.987090168152974	1.0698792672496	0.767408031424543	0.992742034546376	0.719310677497441	0.924386403650659	1.00163962023665	0.966680042724405
TWAS21010305	0.894621940433564	0.999519517565839	1.13331479476873	-0.00818513093872711	0.8874806382181	0.874781077339382	1.05268345825411	1.01463804887182	0.991318478897965	1.09071890740103	0.730915471013959	0.999962202559376	0.763506374764896	1.12597930937965	0.995061750631042	0.875805933571884
TWAS21010306	0.408499794926766	0.981937947218859	-0.258827752551089	-0.138416421181684	0.444382224445552	0.0780933168839006	0.20876367160797	0.648855693404503	1.00951440018104	0.733482340807096	0.0327401028407028	0.963182990911246	-0.260095168952715	-0.18589540823974	0.931516789619762	1.06081821684432
TWAS21010307	0.89304697670073	0.978461035361992	1.02544222694473	1.0048543592095	0.927439142062792	0.842730905178782	1.04507106664244	1.05719051660599	0.98718181724217	1.03948073343959	0.674271372226165	0.98592838362158	0.824362636321957	0.925005907270348	1.00765014194084	0.973638198506031
TWAS21010308	0.849320680922583	1.00933508055462	1.02786898475375	0.997288239175794	0.890036631456293	0.884666964501534	1.04157531839455	0.997734367608777	0.993431712081491	1.05723847415521	0.642045429511299	1.00030793410749	0.741373582586536	0.890909929122311	1.00954352886447	0.955129680439846
TWAS21010309	0.905104111923967	0.968702972929572	0.964179676758795	0.98872989208373	0.699746007598291	0.0784595971156596	0.952635605085309	0.989609081741654	0.999630857589019	1.0808435443489	0.749463690158237	0.983207792654088	0.821932906254742	0.972098821573011	0.957881831787955	0.989465819191943
TWAS21010312	0.880800199172879	0.97146371157093	1.08241416222726	1.01787608490189	0.888162906465619	0.804964197261934	1.06586121804565	1.00918686620729	0.994617486552101	1.03687538325958	0.678524275741356	0.992714518612683	0.748895746413644	0.944560990964385	0.998968879655027	0.98788410480376
