itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160216	0.932815612328433	0.919119807793115	1.14170744710086	1.01700240619148	0.842076876328175	0.906732246615812	1.16016805755439	1.02387136780054	1.05148351002932	1.03704532168845	0.86494980597004	0.986216643062799	0.745139465999955	1.00728541009211	0.988866861143631	0.965567601451346
TWAS21160217	0.488918517858062	0.979778998308682	-0.0543133690147837	1.04539824523778	1.02511350134068	0.962776716943557	0.994611486799085	0.996681190640893	1.00403068812094	0.841667577886814	0.594673429256563	1.01548473702825	0.227546306862334	-0.191565980478477	1.01593337470557	1.00732196741902
TWAS21160218	0.86027985956169	1.00255654621978	0.902256370265162	0.999021653376776	0.713944895869201	0.0251644936408278	0.799269360650671	1.05114613625221	1.01272273749322	1.05704349513414	0.62039178464555	0.989387607146496	1.07206165108571	1.03874396258697	1.00072998882534	1.00018804878232
TWAS21160219	0.459921743845794	0.985697862890893	-0.212062002253286	1.02591691976786	0.68225625690682	-0.0437747244017913	-0.0280906595553546	0.882639617871687	1.01657272572442	0.849310119640706	0.252959444151109	1.01300372779054	0.0975614258493744	-0.135814231146676	0.824943326292885	1.01409744693778
TWAS21160221	0.797762245439143	1.00679457102135	0.897934463952282	0.986435683771536	0.767754890278508	0.129992955503737	0.810357729030839	1.04889065310554	0.981512765410208	1.03772242476968	0.56348507316453	0.970214222611126	0.714437009547926	0.971828876649544	0.990185547656424	0.979203705199304
TWAS21160302	0.479522578415237	1.00900661159791	-0.0889840829106866	1.0174879684353	1.02956743408427	0.862169614371927	0.971258212677395	0.912423257406212	1.00957590992687	0.869482031469845	0.38850949406376	1.02232705549338	0.527532819574456	0.0509426773206424	0.999633283088501	1.02283801886681
TWAS21160304	0.71384751356412	1.0145130912161	1.03571244558548	1.00116361966214	0.904492689922703	0.792766631023772	1.03570074176822	0.97759002636828	0.996365101853848	1.0256899604619	0.5643587799465	0.988591417291045	0.601703617287162	0.96962900971319	1.00940401746444	0.951971011025163
TWAS21160306	0.81461634068714	1.01953279965698	0.896059398698991	0.983428445249024	0.728116799216574	0.161331117844844	0.835628522326005	0.955898500818678	0.993088342425296	1.03968267992863	0.525204435231779	0.986888684724728	0.646026443009552	1.01585924978376	1.00341993686524	0.990839068683259
TWAS21160308	0.870857127821596	1.0248016119202	0.941653009506609	0.262849342415198	0.681460208522942	0.120218752133991	0.861227187807574	1.07379040433412	0.996308029126139	1.06866034991796	0.5561687446692	0.968964175212084	0.744940419145526	1.1444993719056	0.988924168237755	0.889174794585627
TWAS21160311	0.554787151525712	0.981315447829843	-0.139941619682716	1.03414863792885	0.62482255443236	0.00244223098626166	0.0670964634645824	0.829840584708643	1.00610415145476	0.860098110262149	0.320143583667153	1.01922471175874	0.177938834005487	-0.190907159496603	0.862552308458019	1.01703061295684
