CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160906	1.067861	0.77275	1.079283	0.61595	1.18342	1.20308	1.071673	1.10359	0.9941242	1.07952	1.01029	0.71947	1.080485	0.6807	0.57592	1.080752	1.087555
TWAS21160914	1.032607	0.7919	1.0063749	0.58807	1.12727	0.974884	0.60565	0.60473	0.969303	1.10428	0.943387	0.67401	1.027345	0.6011	0.42375	0.992086	1.068239
TWAS21160916	1.056879	0.87675	1.10354	1.27827	1.16839	1.065398	1.010718	1.11426	1.0054772	1.073892	1.10299	0.82238	1.061458	0.921228	1.32582	1.036302	1.017614
TWAS21160918	1.063714	0.75038	1.086492	0.6229	1.16616	1.21893	1.036596	1.084287	0.985882	1.085328	0.99930716	0.69889	1.074485	0.6576	0.60182	1.08356	1.081436
TWAS21160924	1.066872	0.913774	1.084364	1.3507	1.17614	1.088337	1.067734	1.17487	1.12374	1.071501	1.12231	0.85902	1.078519	1.0001397	1.29652	1.061978	1.026584
TWAS21161006	1.06463	0.83854	1.077035	0.60288	1.17206	1.21369	1.077702	1.098876	0.986778	1.082049	0.989943	0.71401	1.072046	0.71482	0.58677	1.083169	1.078908
TWAS21161007	0.80628	0.79387	0.8552	1.21495	0.56167	0.46499	0.87186	0.976592	0.80541	0.85401	0.89531	0.76533	0.89624	0.84138	1.16995	0.86469	0.83391
TWAS21161009	1.052233	0.962655	1.079594	1.1815	1.14144	0.8873	0.68161	0.991056	1.014448	1.05954	1.12095	0.86961	1.040437	1.00020819	1.30642	1.04761	1.024847
TWAS21161013	1.013442	0.79378	0.958255	0.54306	1.049071	0.928626	0.57655	0.50658	0.85115	1.040958	0.914564	0.6343	1.014413	0.54174	0.5775	0.948669	1.050563
TWAS21161014	1.035938	0.81807	1.046548	0.61038	1.14503	0.954994	0.60481	0.60762	0.970155	1.066202	0.96727	0.68978	1.047751	0.63452	0.57748	0.973448	1.062534
TWAS21161015	1.044682	0.81998	1.0316	0.59277	1.13853	1.19716	0.959751	1.065957	0.9927548	1.0961	0.972219	0.72205	1.05331	0.71221	0.54467	1.063733	1.061339
TWAS21161017	1.03968	0.987568	1.032045	1.35014	1.13398	0.971605	1.18695	1.1892	1.090852	1.01841	1.10687	0.87169	1.05328	1.042017	1.32397	1.045571	1.048499
TWAS21161019	1.061735	0.78947	1.048471	0.59325	1.16655	1.19659	0.985076	1.093976	0.9996533	1.081663	0.982289	0.73135	1.069132	0.69961	0.58981	1.075135	1.085366
TWAS21161024	0.66352	0.49535	0.55388	0.56331	0.51857	0.54736	0.59035	0.48706	0.58195	0.75434	0.50035	0.19846	0.7183	0.44965	0.43416	0.40545	0.73737
TWAS21161102	0.968081	1.026279	0.923205	1.15759	0.60952	0.70483	0.70873	1.045354	0.971606	1.023559	1.053662	1.068488	0.958118	1.26774	1.39038	0.976382	0.9915109
TWAS21161106	0.84122	0.938692	0.80686	0.985068	0.48971	0.5774	0.59796	0.87135	0.84649	0.918931	0.8861	0.76439	0.909166	0.95299	1.25661	0.87209	0.85934
TWAS21161108	0.978737	0.9972097	1.015232	1.14066	0.59885	0.73979	0.67982	0.977085	0.98016	1.03849	1.070513	0.836	1.012062	1.0076566	1.39393	0.985417	0.953655
TWAS21161112	0.93021	0.89077	0.978407	1.30692	0.55736	0.85521	0.951658	1.071869	0.906985	1.0020839	0.9906928	0.77817	1.0067731	0.87874	1.27327	0.979653	0.905747
TWAS21161114	0.85474	0.54427	0.76843	0.5153	0.54295	1.02523	0.8966	0.925844	0.82105	0.978314	0.70472	0.5009	0.954486	0.53579	0.41529	0.940371	0.89941
TWAS21161116	0.62937	0.50977	0.47234	0.27297	0.52418	0.77108	0.76428	0.81035	0.64332	0.66576	0.62453	0.19851	0.82828	0.46273	0.4273	0.72626	0.46808
TWAS21161118	1.039252	0.81066	1.035291	0.26666	1.15094	1.17399	1.0093102	1.097358	1.0020533	1.049751	0.961388	0.71241	1.06007	0.69933	0.54274	1.063281	1.067342
TWAS21161122	0.911505	0.65091	0.87554	0.58586	0.59763	1.091704	1.16515	1.019393	0.921004	1.0077056	0.80922	0.59706	1.0083553	0.54181	0.38108	0.957243	0.945621
TWAS21161124	1.051573	0.77575	1.033157	0.60412	1.14103	1.15805	0.959775	1.06848	0.983806	1.1068	0.96864	0.7239	1.07494	0.7057	0.57687	1.076931	1.077996
TWAS21161205	1.059905	0.84766	1.066641	0.63501	1.1611	1.22635	1.034372	1.080924	0.9907889	1.07904	0.974735	0.70477	1.087284	0.65924	0.5717	1.078252	1.078866
TWAS21161209	1.0011032	0.7236	0.923726	0.58452	1.062602	0.88369	0.54154	0.57753	0.918206	1.057492	0.88198	0.65485	0.97221	0.60597	0.53252	0.917205	1.054224
TWAS21161213	1.049778	0.88009	0.982826	1.34516	1.076108	1.11602	1.037315	1.17025	1.053982	1.038763	1.11124	0.82701	0.9953997	0.945843	1.25932	1.072173	1.012272
TWAS21161215	0.902138	0.63279	0.83278	0.54938	0.53618	1.10542	0.89757	0.953704	0.84386	0.9977908	0.76813	0.58308	1.010384	0.5361	0.38544	0.937887	0.937443
TWAS21161217	1.067438	0.87929	1.12555	1.33339	1.18106	1.076625	1.080941	1.15711	1.039355	1.078013	1.13115	0.86606	1.073094	1.012342	1.30961	1.042776	1.021047
TWAS21161221	1.04049	0.8741	1.043489	1.27424	1.12217	1.059416	0.953429	1.11531	0.978774	1.047644	1.081092	0.77189	1.036292	0.81704	1.2933	1.049506	1.015058
TWAS21161224	1.045719	0.954473	1.066505	1.21271	1.1445	0.80923	0.70337	1.038509	1.02405	1.095551	1.11805	0.88273	1.051428	1.045911	1.35311	1.022305	1.042914
TWAS21161302	1.033726	0.85008	1.020976	1.27078	1.11801	1.02643	0.961143	1.11136	0.977159	1.068746	1.081512	0.78824	1.0332	0.8139	1.28451	1.049714	1.030891
TWAS21161303	1.043742	0.946172	1.038948	1.36673	1.14389	0.9986161	1.050884	1.17202	1.05372	1.061205	1.11148	0.85625	1.032213	1.028824	1.29367	1.059516	1.032489
TWAS21161304	1.054685	0.974049	1.047957	1.351	1.14786	1.037373	1.010905	1.19538	1.046312	1.057077	1.1287	0.86145	1.059707	1.047207	1.31982	1.051335	1.046514
TWAS21161306	1.051571	0.972377	1.073241	1.1973	1.14808	0.916707	0.68654	1.0069435	1.039335	1.050075	1.12343	0.85023	1.051707	0.9946154	1.32208	1.044882	1.046822
TWAS21161308	1.028588	0.80004	1.040128	0.61313	1.14038	0.915078	0.61266	0.63391	0.91922	1.088447	0.944559	0.68276	1.043071	0.60764	0.56239	0.9951484	1.069867
TWAS21161309	1.06364	0.973818	1.056377	1.32643	1.17835	1.047916	1.040964	1.18755	1.096053	1.076115	1.14422	0.88404	1.060318	1.063083	1.33356	1.069945	1.06057
TWAS21161311	1.041499	0.77195	0.983298	0.60253	1.10986	1.18796	1.075146	1.045382	0.9936959	1.06948	0.945942	0.67932	1.015086	0.6164	0.51715	1.09044	1.084496
TWAS21161312	1.045977	0.952415	1.02944	1.19722	1.12127	0.87241	0.68904	0.9963342	1.017516	1.065356	1.12588	0.85775	1.025979	1.030359	1.3168	1.039254	1.050677
TWAS21161313	1.049545	0.976126	1.062334	1.20245	1.13965	0.944277	0.68905	0.97523	1.085771	1.065322	1.11896	0.86341	1.033198	1.025417	1.31589	1.062093	1.046391
TWAS21161314	1.059863	0.77465	1.07455	0.59039	1.17666	1.20963	1.038523	1.087177	0.9928408	1.080547	0.9978085	0.7211	1.080236	0.69162	0.60084	1.071835	1.088363
TWAS21161318	1.044648	0.974569	1.030227	1.1944	1.11119	0.8755	0.68309	0.9917514	1.029644	1.066222	1.12444	0.95461	1.027245	1.024355	1.31863	1.048788	1.053202
TWAS21161322	0.9932292	0.665	1.0015989	0.60517	0.58815	1.22236	1.2604	1.045516	0.983108	1.064736	0.86614	0.62336	1.05678	0.55287	0.47281	1.028058	1.016128
