itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010121	0.541366893311181	1.02165687142742	0.528823985771897	1.05040217812941	0.857555203431139	0.684617692910101	0.569837738141417	0.878443581617642	1.0099830931487	0.929756058288382	0.55185133681229	1.02301088332809	0.58099918759286	0.807320447043497	0.947697630845123	1.04445550424135
TWAS21010122	0.539983728078105	0.989591393961309	0.473404447658651	1.04105948291448	1.16471704935816	1.07005966371361	1.05675284758633	0.930637316940879	1.00250406798047	0.896039595009944	0.662185861507865	1.01737479660098	0.613361055866932	0.905976044114988	1.04821008859157	1.02260893147713
TWAS21010203	0.818508763099293	0.987719602947472	1.20030288917332	0.618035512594017	0.623898597395242	0.829449500586862	1.12399871233383	1.08429235332055	1.0776980422828	1.10294448543687	0.921046372575808	1.05865518534539	0.897560846098449	1.38931878698307	1.02707860184234	0.989024968997556
TWAS21010204	0.544466323200173	1.01520423668618	0.497388036216834	1.06229151493899	0.912015033402566	0.646319423839452	0.57422742517016	0.925227703899514	1.00421690538487	0.926545824004891	0.587948102392577	1.00976451865239	0.579559247970221	0.823611972774436	0.932511531303105	1.04212409750133
TWAS21010205	0.562608433948235	1.02119109159792	0.501602166908614	1.06076726976596	1.22116984739581	1.22039974506957	1.06271465495875	1.01530467726516	0.996937294196792	0.927202315618029	0.620392663668874	1.01582693056687	0.616312006514889	0.916930743901144	1.06592784052686	1.02511241723613
TWAS21010206	0.787691711480082	0.984053646919594	1.23145391319567	0.611466122724517	0.625061203909549	0.780972303538055	1.15813423397708	1.0759376438943	1.06492406548141	1.04884394930337	0.945597798117732	1.02930286923928	0.869501805385111	1.20369077805535	0.986784122612006	1.00881127943778
TWAS21010207	0.541694624068189	0.999717968191236	0.518717326707122	1.04547163829144	0.834269445448043	0.658175604432876	0.552533493581472	0.867499428563002	1.01133933772295	0.886028734064281	0.624995391637112	1.0286695472007	0.616184201794681	0.653797659688991	0.745043244877344	1.03077096067776
TWAS21010208	0.821398664756998	0.972693868772794	1.24929874575015	1.02487908226067	0.764145201956648	0.686794455858733	1.02519024238458	0.976015960684003	1.00667346948114	1.10279723799631	0.951263172826569	0.988854061326	0.900043470899665	1.21301198424066	0.942879237840732	1.00804898026421
TWAS21010211	0.533923645109376	1.00313403256497	0.524461349910221	1.03933812844078	0.870696701458943	0.552415565945896	0.612265053373553	0.908662514920046	1.02445899844521	0.913483018189993	0.59449738376003	1.02859757686234	0.597046371830578	0.660140880971663	0.792932813001156	1.03498321524276
TWAS21010212	0.793788081973558	1.02503847573104	1.32706621425807	1.02239242545608	0.999837996921942	1.10820005580106	1.12088129674464	0.954905543205321	0.924483165180139	1.07794148088814	0.789152993906884	0.958773816702517	0.891378646194278	1.10174693319173	1.03652269393118	0.93977895580016
TWAS21010216	0.55539043381535	1.01597330367075	0.466242491657397	1.05083870967742	1.26700778642937	1.19189321468298	1.03715239154616	1.00610456062291	1.00316796440489	0.914503225806452	0.621899888765295	1.02595773081201	0.625699666295884	0.957667630700779	1.05341935483871	1.03328142380423
TWAS21010217	0.535583441245731	0.986265247906653	0.448927865362194	1.05684410383554	1.14852279063766	1.05594086554192	1.07374756333037	0.93109582160122	1.01326746452716	0.896863090273137	0.668921690161615	1.03558113706641	0.608284907164615	1.00439084411305	1.04755365281548	1.02255791554722
