CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010511	1.12423	0.61685	1.15454	0.56442	1.17451	1.36481	1.40309	1.19802	1.11188	1.14575	1.030805	0.6718	1.16845	0.6671	1.20238	1.19795	1.17122
TWAS21010512	0.963641	0.65488	0.939966	1.29693	0.56227	0.8533	1.0672	1.017354	0.917579	0.970073	1.0093447	0.72083	0.937143	0.77438	1.11209	0.952482	0.86157
TWAS21010513	0.42559	0.47693	0.4995	0.5686	0.37716	0.55053	0.68535	0.55219	0.39975	0.2088	0.53726	0.54066	0.47205	0.5382	0.63942	0.52179	0.49686
TWAS21010514	0.928922	0.81046	0.956806	1.2107	0.56536	0.6364	0.70874	1.029011	0.9985687	0.9917876	1.03125	0.88532	1.0060735	0.86885	1.30944	0.962095	0.942718
TWAS21010515	0.87791	0.73278	0.87933	1.11548	0.55838	0.58526	1.12241	1.070341	0.907665	0.87815	0.905955	0.67663	0.940953	0.75986	1.075216	0.8302	0.76139
TWAS21010516	0.82742	0.47907	0.82143	0.50476	0.48931	0.55079	0.70668	0.51256	0.60768	0.8533	0.72599	0.54822	0.8029	0.52439	0.56591	0.55923	0.83443
TWAS21010518	1.041428	0.85372	0.988851	1.28329	1.06418	0.76891	0.76189	1.087098	1.033925	1.049	1.14435	0.86154	1.03125	0.936985	1.26826	1.016511	1.056021
TWAS21010519	1.12803	0.8938	1.15519	1.48328	1.18615	1.18308	1.34884	1.27022	1.17655	1.11087	1.19829	0.93221	1.11885	0.981689	1.2928	1.20442	1.10975
TWAS21010521	0.83818	0.68544	0.80671	1.11943	0.48993	0.56323	0.66073	0.929909	0.83729	0.934762	0.972928	0.7722	0.85864	0.78928	1.11656	0.8243	0.81271
TWAS21010522	1.10267	0.56986	1.12578	0.53211	1.15714	1.012459	0.70604	0.61112	0.97504	1.10478	1.0068286	0.61976	1.12823	0.64809	0.85777	1.033732	1.14689
TWAS21010523	0.968173	0.5666	0.905835	0.45536	0.57213	1.090423	1.1024	1.07874	0.89193	0.9980283	0.84406	0.55086	0.9937089	0.56359	0.55365	0.9914869	0.932513
TWAS21010524	1.12483	0.907518	1.13695	1.45499	1.16642	1.14561	1.33434	1.23885	1.1688	1.13074	1.21003	0.921432	1.1373	0.970859	1.28776	1.19976	1.10657
TWAS21010602	0.975396	0.76474	0.987667	1.15986	0.41857	0.56339	0.72956	1.023789	1.0067011	1.10029	0.918185	1.11123	0.8972	0.918414	1.23607	0.947509	0.906272
TWAS21010603	1.11369	0.88335	1.15073	1.49214	1.14382	1.097393	1.26694	1.26	1.090095	1.025268	1.24555	0.920217	1.067258	1.0063892	1.24273	1.16971	1.04246
TWAS21010604	1.105	0.63702	1.10975	0.54368	1.17768	1.33685	1.26642	1.15548	1.10752	1.11888	1.0027818	0.75082	1.13121	0.71401	1.023424	1.15045	1.14254
TWAS21010606	0.940493	0.47368	0.93287	0.45635	0.65773	1.045072	1.14678	1.061637	0.79006	0.971486	0.74258	0.50254	0.913029	0.51429	0.56808	0.9914869	0.962368
TWAS21010608	1.10798	0.6293	1.10837	0.54481	1.16137	1.29327	1.21044	1.15742	1.044295	1.10652	1.0072534	0.73752	1.14861	0.72189	1.015991	1.15963	1.13142
TWAS21010609	1.093556	0.60933	1.089063	0.55983	1.15462	1.33894	1.26207	1.1674	1.1172	1.10782	1.0025598	0.72759	1.11747	0.71611	1.13633	1.14258	1.12897
TWAS21010613	1.11616	0.89574	1.075607	1.5171	1.15015	1.1368	1.14945	1.25595	1.1346	1.13158	1.18054	0.945784	1.12993	0.94582	1.24327	1.13965	1.12189
TWAS21010615	1.082732	0.60128	1.077013	0.51498	1.13136	1.25474	1.2515	1.15845	1.085053	1.10555	0.975784	0.72655	1.10861	0.68328	1.099117	1.13985	1.11784
TWAS21010616	1.11753	0.904336	1.12128	1.4819	1.14937	1.14231	1.35518	1.2225	1.17246	1.12298	1.17923	0.947535	1.15569	0.935274	1.20914	1.17727	1.093178
TWAS21010617	1.099996	0.906289	1.07353	1.47636	1.13091	1.077378	1.30633	1.25992	1.1838	1.097901	1.18542	1.091605	1.097726	0.951135	1.28417	1.13594	1.095284
TWAS21010618	0.51734	0.42326	0.50249	0.52876	0.51258	0.55632	0.60387	0.61807	0.47294	0.46718	0.57431	0.49995	0.51498	0.45684	0.55967	0.49556	0.4108
TWAS21010619	0.935773	0.47553	0.902281	0.52945	0.63019	0.71848	0.24737	0.22555	0.86125	0.955646	0.81073	0.50756	0.940614	0.51929	0.52907	0.53812	0.929067
TWAS21010621	1.094768	0.909725	1.078076	1.34061	1.084615	0.87857	0.7677	1.0465	1.12126	1.089667	1.21769	0.975861	1.075361	0.976904	1.29919	0.981212	1.097047
TWAS21010622	1.092012	0.58596	1.081729	0.53104	1.14326	0.89604	0.6592	0.6667	0.973771	1.10334	0.9913501	0.70833	1.11629	0.6428	0.67804	0.82423	1.14256
TWAS21010623	1.086041	0.89984	1.074521	1.4966	1.12386	1.0134	1.36613	1.26305	1.16811	1.084679	1.20546	0.94199	1.0667	0.96726	1.28919	1.13961	1.088087
TWAS21010624	1.10311	0.89125	1.078056	1.45356	1.13009	1.035975	1.21447	1.24547	1.10159	1.094512	1.17923	0.959684	1.097256	0.972918	1.27189	1.12388	1.087029
TWAS21010701	0.89378	0.49552	0.945956	0.51321	0.59239	0.78303	0.68492	0.57782	0.8568	0.930728	0.84778	0.55938	0.919358	0.53583	0.2692	0.7918	0.922683
TWAS21010702	1.13107	0.914998	1.11424	1.53004	1.18474	1.13317	1.31191	1.28561	1.1965	1.11154	1.19881	0.956566	1.11301	1.02005	1.33685	1.19813	1.13201
TWAS21010703	0.52103	0.48418	0.53998	0.58981	0.5738	0.50586	0.62532	0.56043	0.41465	0.4096	0.51389	0.47074	0.51865	0.22588	0.51975	0.52186	0.44867
TWAS21010704	0.83004	0.45503	0.72778	0.55341	0.56095	0.55683	0.47694	0.22528	0.77988	0.87146	0.69116	0.52325	0.52478	0.53534	0.52589	0.55352	0.900264
TWAS21010705	1.11891	0.63251	1.11868	0.56876	1.17511	1.37589	1.28032	1.16159	1.11688	1.12086	0.99982731	0.734	1.14726	0.71607	1.12338	1.19015	1.15471
