itraconazole_both	methotrexate_both	tamoxifen_both	beauvericin_both	benomyl_both	bisantrene_both	camptothecin_both	cisplatin_both	colchicine_both	cycloheximide_both	fluconazole_both	imatinib_both	ketoconazole_both	miconazole_both	mitoxantrone_both	valinomycin_both
TWAS21010419	0.850925952517113	1.01037013248401	1.04752847670002	0.988602940120637	0.905380045083673	0.905616924584061	1.05589833185431	0.993621262591436	0.983209429122329	1.0639790452326	0.640436386073138	0.998331568777453	0.697443981615393	0.910752445908631	1.01710111194483	0.951705575223813
TWAS21010422	0.533057065894491	1.0135734848543	0.00867386101631521	1.01161376536454	1.04924253699175	0.861006389566735	0.962901997059865	0.938643101166558	0.990538932131251	0.856366597746703	0.375091667100968	1.01962269729308	0.156530435004939	0.477083557148125	1.01481956651924	1.01875321737824
TWAS21010423	0.449626648608198	1.00433885730797	0.00867386101631521	1.0320549650208	0.798284491438367	0.0496414591102301	0.130118306683893	0.886239128243068	1.01251684018517	0.840486883906134	0.287796875238567	1.00473933053401	0.0560044361203359	0.249133689035278	0.941207072096827	1.02526452932001
TWAS21010504	0.946305666179797	1.01194392452104	1.16199887823844	0.0112103078522249	0.891049489159331	1.03295751938656	1.0799474817072	1.05403497388205	0.996283740171064	1.03504752704511	0.624256292698898	0.983649711474143	0.893583443332717	1.10584139293007	1.03122448051078	0.84771056977513
TWAS21010506	0.86722265758094	1.00839123194716	1.04990167451518	1.00195625826818	0.942653868551209	0.949971783266448	1.05001474080085	1.0577181485614	0.984579509235663	1.04985199329555	0.693303517510505	0.996065559297464	0.736354054985578	0.90407678363008	1.01718496776754	0.952443378971647
TWAS21010507	0.509741106707994	1.00601542354444	0.00867386101631521	1.00971225085438	0.773188784600815	0.0719922570289919	0.191221161677782	0.839541557857822	1.0020099260878	0.883397160510948	0.287568996361596	1.01871310239572	-0.00944943454972864	0.249243570952544	0.940633675487772	1.02844588808245
TWAS21010508	0.559588804339666	0.985239356773627	0.00867386101631521	1.01364627851432	1.05258492671127	0.877088254762723	0.953288439674079	1.01761932914882	0.994262984155605	0.866847110373055	0.405434436368378	1.00820165722889	0.177487406499729	0.49260032472318	1.01132703239832	1.01001315239987
TWAS21010511	0.554331398104792	1.01085365561817	0.00867386101631521	1.02663990626685	1.04077246522262	0.993334155282122	0.987730931315844	1.00209356312765	0.993279600975829	0.870164424865841	0.454212991724992	1.00888024106625	0.130829058294378	0.462979334789761	1.01556057459283	1.01499747486253
TWAS21010512	0.87374481468872	1.01558977028861	1.19700079708017	0.0112103078522249	0.91056355337743	0.960374392391389	1.09688633859659	0.972033926213469	0.976158405032854	1.0504459509296	0.610243195769529	0.972446578706804	0.833392107836731	1.14690843681825	1.02581356703698	0.896620467204666
TWAS21010514	0.920298858002553	1.00794027818695	0.95365520551846	0.0112103078522249	0.575053876446525	0.0464508285204958	0.930771843302611	0.935080470780799	1.00378878386433	1.05662210431278	0.751091971153143	0.992268189741469	0.717666756205268	1.14664312296153	0.984756196830809	0.915712730324365
TWAS21010518	0.894309966655339	0.951777105115958	0.933907085301926	0.984871749919214	0.62336105315176	0.101081564023071	0.926921940087297	0.993014040156657	0.986701144550271	1.072175684546	0.596714163036625	0.9743727236754	0.765348077971413	0.989034099927607	0.959834275244222	0.991801588891666
