itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010323	0.891239608474622	0.968669652880102	0.948230160446244	0.999555054845996	0.464754728416922	0.418742600010256	0.929827972722127	1.05521413090081	1.01326622050317	1.06479144053245	0.711466818292069	0.970080519063119	0.810780170396565	1.0974132450561	0.927926329543519	1.01136410891728
TWAS21010324	0.879838042844893	1.01394802715799	0.907177913982699	0.979101258813232	0.658111590550131	0.295082722351925	0.841640710811665	1.03652672865594	0.993960252001689	1.06679262429901	0.663582966513459	0.977500424395755	0.743018742411026	1.03811770577925	0.988184505106323	0.969576453055869
TWAS21010401	0.836565041488436	1.01226068343489	1.05610370121122	0.98623816491494	0.829586745638514	1.04385500264914	1.0382974114084	0.980705054912209	0.99530291876422	1.04872564044765	0.712821829358621	0.995363950745788	0.70049164752871	1.01385247749043	1.0108992351136	0.938707216415206
TWAS21010402	0.943251379599583	1.03942915249424	1.00303126420324	-0.298559764224109	-0.225915423365817	0.196893192401219	0.928245571844973	1.07994579303799	1.00753241885716	1.07693586079708	0.533859066479866	0.968070652661236	0.669316548534877	1.2676611263983	0.990003629414833	0.88434702059983
TWAS21010405	0.952906772123494	1.03243735670969	0.964570489887518	-0.197556504210461	-0.261794886467015	0.222378039918174	0.996836247861828	1.05124165497373	0.970644745436091	1.07412181384623	0.891939834281755	0.889772612709577	0.771521219465455	1.28018373921556	0.98300822305012	0.89787341299296
TWAS21010406	1.01742713703528	0.936674310477582	0.979856983860974	-0.133956418746363	0.42538459762596	0.155254686787675	0.955453753736692	0.960572848593181	0.969361602419393	1.03521171673093	0.973144960427161	0.937060989405849	0.93540069223827	1.26512572407729	0.88237994623305	0.942678427873
TWAS21010407	0.976292565111988	0.879153668022647	0.99419945653069	-0.269749033962203	0.339276497708839	0.189695070483384	0.972232348805841	0.998193811866599	0.986800382357899	1.02185580768315	0.860433762905082	0.956980227581063	0.972769049846389	1.30146556775717	0.961749710761525	0.960408465672714
TWAS21010409	0.846766136438351	1.01121197990561	1.04488253183812	1.00155393542799	0.852418340504676	0.97333880608638	1.03391362989316	0.982163999198415	0.987768745300942	1.05032054341617	0.704380755658359	0.996198116360049	0.700063031862705	1.01632055833004	1.01726990378348	0.948078636755251
TWAS21010412	0.332284177438086	1.01449417166916	-0.358063003352691	1.00242332773057	1.0828344906229	0.971033540967111	0.953314678293371	0.921729593870543	1.00309994737394	0.851072598927268	0.293341312076259	1.0240935881378	0.272711574624574	0.621437141256526	1.0203158564648	1.0256027708878
TWAS21010414	0.37382138382791	0.988082473649776	-0.301080045838984	1.01654090749556	1.08257914780141	0.944335651057691	0.976828491183895	0.939305164633553	1.00426116311182	0.863045084309711	0.288641493771839	1.02793828932332	0.249681986905029	0.549813306905575	1.0201701490135	1.01938085490237
TWAS21010416	0.368406605105828	1.00244564603511	-0.270452328909765	1.01940961294986	1.05842291779388	1.16036583614196	0.994106715969491	0.996037152444346	1.00864750998378	0.883591797407332	0.286160305831676	1.01288518873493	0.475546672168237	0.647583190992548	1.04230940302081	1.03196446887178
