1049,269,5,0
1217,1365,1365,370
586,144,299,80
1198,1721,438,38
1256,111,149,44
938,218,146,24
1052,1873,1267,169
1066,352,2,0
810,21,0,0
982,12,1,0
804,45,173,55
838,20,2,1
420,6,0,0
1370,278,6,0
1190,445,13,0
501,151,86,19
875,318,232,74
1124,1369,546,120
668,60,30,12
1622,24,0,0
746,806,490,462
818,84,3,0
668,1097,305,147
719,971,520,74
972,225,9,2
776,73,1,0
812,115,4,0
658,17,0,0
1270,318,4,2
1920,2632,838,57
920,300,800,762
978,12,0,0
758,128,3,1
538,826,218,43
1102,185,12,0
1310,2166,1621,230
3144,968,43,0
1331,697,9,0
568,266,22321,61534
1046,268,6,0
1100,2172,1012,179
864,1170,416,70
638,918,488,66
883,1716,674,74
304,56,32,7
426,213,422,514
1575,2219,1006,97
868,19,1,0
970,160,4,0
1379,164,6,0
794,1112,810,476
3894,5994,1662,360
1955,992,3537,1998
1083,38,1,0
1050,124,4,0
872,2333,982,156
976,192,2,0
863,1906,3408,2642
932,203,90,25
754,1127,258,93
1200,276,9,0
1181,174,7,0
893,54,144,20
586,10,36,115
2722,323,8,0
1160,168,4,0
1258,532,91,8
1768,519,7,0
1054,391,246,36
923,1882,782,144
512,950,112,17
565,10,0,0
968,165,1,0
1196,1610,1800,1680
779,1480,912,274
986,1718,617,64
2002,2017,511,88
1003,110,1,0
1287,490,7,1
1818,1117,374,58
2148,3326,1356,258
1840,308,524,109
2139,401,10,0
1032,155,6,0
934,19,1,0
966,1992,368,141
1025,2233,983,149
1482,2223,625,195
757,614,655,116
633,22,0,0
1247,299,3,0
1065,29,0,0
1141,1954,1436,535
1120,387,6,1
2600,3161,198486,199264
1286,340,12,1
2782,6950,1590,318
789,1626,525,53
601,677,3693,7169
1299,2302,510,76
1246,509,17,0
701,196,143,28
1274,278,6,0
587,12,0,0
1310,20,2,0
580,1269,539,64
1149,1543,622,104
797,22,0,0
1150,1259,404,36
1065,314,4,1
1302,12,3,0
1590,2913,1697,120
788,20,2,0
785,10,0,0
1865,2685,609,234
1112,182,2,0
1091,1425,52359,77100
683,1409,514,58
1200,384,10,0
779,1179,614,112
1232,2761,785,94
629,150,121,29
926,129,31,1
1174,350,11,0
1257,2106,806,209
586,688,383,119
1390,2834,860,625
1431,282,9,1
1585,60,534,809
1028,2031,386,46
906,18,0,0
1124,41,1,0
807,305,9,0
358,4,0,0
714,83,16,5
480,12,1,0
600,70,0,0
1016,301,9,0
890,236,3,1
1669,504,14,0
1041,1252,424,86
1252,321,261,207
2040,532,31,0
1854,3637,1600,239
502,8,2,0
973,1203,291,134
1090,2237,1887,209
1018,445,753,284
963,6,0,0
1342,2872,1718,174
1028,1428,700,92
614,7,0,0
968,15,3,0
847,24,0,0
867,1209,422,92
1370,156,42,0
1916,2758,917,59
1732,167,13,0
1367,448,904,440
1172,398,432,190
1278,285,11,0
817,9,0,0
904,24,31,4
1273,446,14,1
850,1295,1159,828
703,737,21706,26974
948,30,2,0
862,464,8,1
866,302,674,302
1067,310,10,2
983,1487,2452,1040
979,206,213,35
1095,203,124,7
1034,14,0,0
891,284,80,23
1098,44,1,0
807,607,943,1220
741,23,0,0
820,320,14,0
859,209,4,0
872,2268,3718,2697
849,220,3,0
1917,2671,1554,345
566,6,0,0
752,98,1,0
623,61,0,0
378,10,0,0
715,1124,665,269
1431,2570,502,136
935,1323,804,158
1093,1569,388,42
1721,1816,1558,154
1397,264,7,0
1166,1510,238,26
915,21,1,0
1658,620,22,0
1025,32,0,0
1142,19,2,0
1022,55,2,0
1245,1937,413,52
1065,2322,1368,570
916,59,3,0
671,10,0,0
689,185,5,2
1021,100,3,0
554,627,188,20
1183,1958,682,90
896,9,0,0
944,126,76,44
467,612,489,315
1308,2191,483,128
1340,2066,1179,222
1127,60,0,0
1206,400,10,1
665,362,168,96
1049,19,0,0
830,224,8,0
1006,139,6,0
1218,2680,869,180
922,1434,274,40
1250,1826,739,162
739,136,215,72
742,918,280,92
2142,3077,4676,1429
1458,2022,474,78
1409,368,7,0
1840,29,2,0
