itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21160318	1.11735899177727	1.0385221385191	0.233775056018007	0.659755244400734	1.2059232071703	1.18900120654169	1.10025753074653	0.946766164109947	1.03098074602804	0.904936681908972	0.5560332153829	1.0564326922102	0.61211205629176	0.481734581106977	1.01366280708514	1.02458404728832
TWAS21160322	0.930047568152556	1.00268062562003	1.22929806753181	1.08644010231278	1.0375959182342	0.940662615346534	1.06718449880744	0.949033574020382	1.00695197324363	1.0359725758759	0.719566648181799	0.989382074539429	0.767643294502319	1.25186367761879	1.01197550787014	0.992964557025177
TWAS21160402	1.02239892940935	1.0115406492254	1.12637266435298	1.06742014342053	0.840146770861233	0.62286759674545	0.929485062175082	0.960118794676954	1.02001300381502	1.0670983605161	0.803861016285054	0.98857481405207	0.955768479093102	1.25169764142595	0.999072508098992	1.00640158695757
TWAS21160403	1.09262179249543	0.95043854288407	1.38414498026734	0.588040400693749	0.995063551596341	1.04405227160466	1.14936317088273	1.01876708993993	1.02858028875243	1.07370126557729	0.871459408898941	1.04018149806613	1.03850773195095	1.36535677885378	1.01334426954806	0.984469430283146
TWAS21160405	0.972292162952688	1.01294929590206	1.25633235835117	1.09735435575792	1.04906070017791	1.03030956939963	1.10429921900914	1.02808853240057	1.00044665741941	1.07047010222236	0.806480490305461	0.990361057503845	0.934869903959232	1.22027937761964	1.00645580164641	0.983200404064771
TWAS21160409	1.0332962636198	1.00925761488208	1.14212072317281	1.09780801180659	0.885175375200267	0.62494598616676	0.903781775566469	1.028890634215	1.0007132200222	1.06855744365229	0.821760523319256	0.994764338239135	0.974595691619237	1.26054753644687	1.01017406937133	1.00553196621749
TWAS21160415	1.03864038317321	0.987488855321457	1.1399538787362	1.07145109293037	0.766229999000738	0.636617023732951	0.976853218156294	0.985350629292338	1.00852476956346	1.0743809670719	0.967113909043901	0.996306612299068	1.00302397937058	1.27690124092782	0.9965578829622	1.00507586142665
TWAS21160417	0.985391852785528	1.03367370542943	1.28284873977349	1.09935938289264	1.02870833274323	0.972452048133618	1.10130436629891	0.986777889504171	1.01127051792264	1.07434840695473	0.812710372143306	1.00961633786061	0.940481902684738	1.22654807932889	1.00128689921493	0.97301760398816
TWAS21160418	0.924367143470079	0.99061598971817	0.546081795562426	1.10685607084158	0.905346338647614	0.660318973056685	0.628909802508666	0.936763257372148	1.01648230849171	0.919816058289532	0.661113161149481	0.994400005423724	0.636096236226406	0.737607033794641	0.942857198201261	1.01725906318735
TWAS21160419	1.00652899271317	1.26865268723366	1.11839063421836	1.00497503158478	0.913334517864663	0.602825009055775	0.929538710123915	0.953095504310942	1.01765507952884	1.06197291218991	0.802670496433154	0.952380858889924	0.928286117325538	1.24441560557855	1.00165801664299	1.01878398369666
