CTRL_A	itraconazole_A	methotrexate_A	tamoxifen_A	beauvericin_A	benomyl_A	bisantrene_A	camptothecin_A	cisplatin_A	colchicine_A	cycloheximide_A	fluconazole_A	imatinib_A	ketoconazole_A	miconazole_A	mitoxantrone_A	valinomycin_A
TWAS21010824	1.092468	0.57188	1.11082	0.61623	1.1259	1.018794	0.62102	0.22254	0.9966381	1.049023	0.9926433	0.77018	1.062835	0.62957	0.86066	1.031492	1.086635
TWAS21010901	1.056906	0.62403	1.066055	0.52587	1.11076	0.915234	0.72538	0.51993	1.0029764	1.04583	0.951965	0.69773	1.021708	0.63979	0.67535	0.84964	1.073481
TWAS21010902	0.935288	0.53119	0.88611	0.50303	0.56698	1.1647	1.28141	1.020397	1.038266	0.967478	0.911971	0.49446	0.939606	0.60328	0.51337	0.991304	0.86223
TWAS21010903	1.066507	0.59433	1.10156	0.50823	1.12963	1.024967	0.59406	0.55968	1.0090227	1.10104	0.949181	0.58373	1.10064	0.66321	0.8312	0.959418	1.11012
TWAS21010904	1.058741	0.88188	1.030386	1.31646	1.073787	0.77611	0.83617	1.098876	1.056543	1.10043	1.17762	0.926401	1.070999	0.949769	1.29293	1.012589	1.072306
TWAS21010906	1.13631	0.65832	1.1628	0.54419	1.19712	1.39358	1.27506	1.19355	1.072397	1.15459	1.051357	0.70668	1.16604	0.70681	1.00063725	1.19834	1.16347
TWAS21010909	0.90041	0.69067	0.86105	1.27957	0.37889	0.58587	0.943841	1.13231	0.40157	0.85314	0.906323	0.69766	0.52521	0.80433	1.01621	0.75701	0.71279
TWAS21010911	1.12692	0.60305	1.14268	0.55571	1.19481	1.38341	1.36894	1.17106	1.10401	1.15074	1.038085	0.70039	1.14926	0.61973	1.16642	1.19306	1.15533
TWAS21010912	0.52353	0.46929	0.5147	0.42954	0.56253	0.52421	0.76526	0.62561	0.4786	0.51271	0.43311	0.53201	0.49201	0.55022	0.54608	0.48827	0.49932
TWAS21010913	1.12164	0.8942	1.14706	1.50544	1.15091	1.12764	1.33227	1.24513	1.085615	1.13804	1.24172	0.919862	1.12959	0.938552	1.29663	1.16526	1.10468
TWAS21010914	1.088506	0.915231	1.080758	1.3328	1.10901	0.938052	0.77654	1.10988	1.1123	1.10859	1.20454	0.932533	1.067166	0.987119	1.29339	1.0057525	1.088331
TWAS21010915	1.070867	0.88092	1.090877	1.33073	1.078759	0.81072	0.77891	1.10694	1.033449	1.03347	1.21424	0.9923679	1.010056	0.966185	1.23189	1.040456	1.037245
TWAS21010916	0.50479	0.52253	0.53171	0.54648	0.37903	0.51912	0.85943	0.5239	0.40173	0.76168	0.57769	0.52388	0.50248	0.5463	0.26916	0.56774	0.43468
TWAS21010917	0.97829	0.50467	0.97266	0.54955	0.22788	0.75141	0.58571	0.58906	0.83848	1.064084	0.950383	0.48579	1.030079	0.48665	0.53637	0.86233	0.999950767
