CTRL_alpha	itraconazole_alpha	methotrexate_alpha	tamoxifen_alpha	beauvericin_alpha	benomyl_alpha	bisantrene_alpha	camptothecin_alpha	cisplatin_alpha	colchicine_alpha	cycloheximide_alpha	fluconazole_alpha	imatinib_alpha	ketoconazole_alpha	miconazole_alpha	mitoxantrone_alpha	valinomycin_alpha
TWAS21161102	0.968516	1.047523	0.923778	1.15806	0.6093	0.73235	0.71931	1.045789	0.972882	1.024207	1.053947	1.068298	0.959669	1.2677	1.39016	0.978043	0.9961418
TWAS21161106	0.88239	0.954627	0.8827	1.031706	0.48971	0.5774	0.59237	0.919061	0.87006	0.961455	0.88787	0.76599	0.94644	0.961051	1.25886	0.921752	0.911204
TWAS21161108	0.979804	1.017454	1.015983	1.14209	0.59887	0.80105	0.68278	1.0083097	0.981939	1.039984	1.071259	0.83563	1.014364	1.010006	1.39406	0.988114	0.960294
TWAS21161112	0.930781	0.905389	0.978781	1.30711	0.57142	0.903777	0.972459	1.07224	0.908797	1.0029213	0.9911853	0.77911	1.0076971	0.87964	1.27483	0.981561	0.908348
TWAS21161114	0.89629	0.54427	0.85247	0.5153	0.54295	1.059199	0.94436	0.971744	0.89818	0.98161	0.81424	0.50577	0.985304	0.53579	0.41529	1.11896	0.9924664
TWAS21161116	0.73882	0.50977	0.47234	0.27297	0.52418	0.89558	0.8739	0.944061	0.7548	0.81617	0.70454	0.19842	0.919221	0.46273	0.4273	0.84343	0.46808
TWAS21161118	1.03956	0.83451	1.035584	0.26666	1.15136	1.17446	1.014552	1.097795	1.0029467	1.050152	0.962192	0.70933	1.060442	0.68946	0.54274	1.06364	1.076245
TWAS21161122	0.912619	0.84054	0.87688	0.58582	0.61977	1.092618	1.16666	1.020173	0.923065	1.009136	0.83632	0.58634	1.010186	0.54704	0.38108	0.96027	0.953024
TWAS21161124	1.052044	0.88145	1.033678	0.60408	1.14168	1.15887	0.961292	1.069341	0.985305	1.10737	0.969953	0.72314	1.075525	0.69276	0.57687	1.077436	1.086201
TWAS21161205	1.060153	0.87259	1.066823	0.62932	1.16149	1.22664	1.036101	1.081399	0.9918	1.079381	0.975431	0.70305	1.087575	0.65179	0.5717	1.078472	1.087877
TWAS21161209	1.0015363	0.934899	1.050136	0.58452	1.063234	0.88985	0.54071	0.57513	0.920038	1.057878	0.88336	0.65853	0.972752	0.60249	0.53252	0.959151	1.062063
TWAS21161213	1.050053	0.89778	1.11845	1.3454	1.076688	1.1166	1.039057	1.17058	1.054703	1.039066	1.11152	0.827	0.9958331	0.946554	1.26037	1.072829	1.021636
TWAS21161215	0.903356	0.72898	0.948558	0.54938	0.53618	1.10624	0.945227	0.954927	0.85124	0.99927718	0.83335	0.58587	1.011735	0.54259	0.38544	0.941961	0.952468
TWAS21161217	1.067607	0.971875	1.12567	1.33357	1.18137	1.077423	1.082212	1.15727	1.039423	1.078441	1.13129	0.86493	1.073388	1.01385	1.30942	1.042551	1.03116
TWAS21161221	1.040752	0.89113	1.043719	1.27452	1.12258	1.060305	0.957476	1.11557	0.979602	1.047992	1.081323	0.7695	1.036727	0.82928	1.29396	1.049754	1.023362
TWAS21161224	1.045965	1.14124	1.066755	1.21317	1.14491	0.86111	0.70306	1.039178	1.024267	1.09607	1.11821	0.88028	1.052008	1.047981	1.35307	1.022365	1.052723
TWAS21161302	1.03398	0.87059	1.021211	1.27106	1.11844	1.027456	0.96263	1.11163	0.978304	1.069081	1.081755	0.78034	1.033661	0.80664	1.28552	1.050007	1.039262
TWAS21161303	1.043895	0.964683	1.039094	1.36685	1.14418	0.99942303	1.052173	1.17213	1.054106	1.061396	1.11161	0.85569	1.032475	1.027454	1.29409	1.05961	1.041464
TWAS21161304	1.05497	0.994399	1.048219	1.35124	1.14832	1.038745	1.011367	1.19558	1.046943	1.057539	1.12894	0.86233	1.060212	1.046128	1.32032	1.051692	1.055861
TWAS21161306	1.051914	0.9926084	1.073494	1.19806	1.14861	0.931509	0.67631	1.0082475	1.039998	1.050501	1.1237	0.85079	1.052278	0.9941655	1.32202	1.045139	1.056649
